S.No,Ellapsed,Time,Reading
1,1.566676636,11-36-41-5709,410
2,1.578657296,11-36-41-5829,408
3,1.587199474,11-36-41-5914,408
4,1.599201715,11-36-41-6035,407
5,1.607259929,11-36-41-6115,407
6,1.615667117,11-36-41-6199,406
7,1.627681334,11-36-41-6320,406
8,1.636203069,11-36-41-6405,405
9,1.648270857,11-36-41-6526,405
10,1.656369242,11-36-41-6607,404
11,1.669007459,11-36-41-6733,404
12,1.6768221,11-36-41-6811,403
13,1.685357847,11-36-41-6896,403
14,1.697365139,11-36-41-7016,402
15,1.705557808,11-36-41-7098,402
16,1.718131182,11-36-41-7224,401
17,1.72602721,11-36-41-7303,401
18,1.738353955,11-36-41-7426,400
19,1.746545283,11-36-41-7508,401
20,1.758764689,11-36-41-7630,399
21,1.767118168,11-36-41-7714,400
22,1.779422464,11-36-41-7837,398
23,1.787570299,11-36-41-7918,399
24,1.800070063,11-36-41-8043,397
25,1.807952597,11-36-41-8122,398
26,1.816443394,11-36-41-8207,396
27,1.828416084,11-36-41-8327,397
28,1.836725371,11-36-41-8410,395
29,1.849111029,11-36-41-8534,396
30,1.857093407,11-36-41-8614,394
31,1.869473598,11-36-41-8737,395
32,1.877505982,11-36-41-8818,393
33,1.890075805,11-36-41-8943,394
34,1.898084132,11-36-41-9024,392
35,1.910383802,11-36-41-9147,393
36,1.918718605,11-36-41-9230,391
37,1.930813209,11-36-41-9351,392
38,1.939067159,11-36-41-9433,390
39,1.947195146,11-36-41-9515,391
40,1.959421088,11-36-41-9637,389
41,1.967586459,11-36-41-9719,390
42,1.979910952,11-36-41-9842,388
43,1.988172427,11-36-41-9925,389
44,2.00070712,11-36-42-0050,387
45,2.008661772,11-36-42-0129,389
46,2.02109136,11-36-42-0254,386
47,2.029087543,11-36-42-0334,388
48,2.037533113,11-36-42-0418,385
49,2.049688552,11-36-42-0540,387
50,2.057777518,11-36-42-0621,384
51,2.070523989,11-36-42-0747,386
52,2.078263965,11-36-42-0826,384
53,2.090547726,11-36-42-0948,385
54,2.098922564,11-36-42-1032,383
55,2.110995514,11-36-42-1153,384
56,2.11968253,11-36-42-1238,382
57,2.131480974,11-36-42-1358,383
58,2.139800507,11-36-42-1440,381
59,2.152138084,11-36-42-1564,383
60,2.160190241,11-36-42-1645,380
61,2.168683155,11-36-42-1729,382
